carat,color,clarity,cut,price
0.31,J,SI1,SUPER IDEAL,350.00
0.31,I,SI2,VERY GOOD,390.00
0.31,I,SI2,IDEAL,390.00
0.3,I,SI2,VERY GOOD,390.00
0.33,J,VS2,VERY GOOD,400.00
0.33,J,VS2,IDEAL,400.00
0.3,J,VS1,VERY GOOD,400.00
0.33,J,VS2,IDEAL,400.00
0.3,H,SI2,VERY GOOD,400.00
0.3,I,VS2,IDEAL,410.00
0.36,J,VS2,IDEAL,410.00
0.3,I,VS2,VERY GOOD,410.00
0.3,I,VS2,IDEAL,410.00
0.32,J,VS1,IDEAL,410.00
0.3,I,VS2,IDEAL,410.00
0.36,J,VS2,VERY GOOD,410.00
0.32,J,VS1,VERY GOOD,410.00
0.34,J,VS2,VERY GOOD,410.00
0.3,I,VS2,IDEAL,410.00
0.32,H,SI2,IDEAL,410.00
0.35,J,VS2,VERY GOOD,410.00
0.34,J,VS2,VERY GOOD,410.00
0.32,J,SI1,SUPER IDEAL,410.00
0.3,I,SI2,VERY GOOD,410.00
0.32,J,SI1,SUPER IDEAL,410.00
0.32,J,SI1,SUPER IDEAL,410.00
0.3,I,SI1,IDEAL,420.00
0.3,I,SI1,VERY GOOD,420.00
0.31,I,VS2,IDEAL,420.00
0.33,J,VS1,VERY GOOD,420.00
0.3,I,VS1,VERY GOOD,420.00
0.3,I,VS1,VERY GOOD,420.00
0.37,J,VS2,IDEAL,420.00
0.3,H,SI1,VERY GOOD,420.00
0.3,I,VS1,IDEAL,420.00
0.33,J,VS1,IDEAL,420.00
0.31,I,SI1,IDEAL,420.00
0.3,I,VS1,VERY GOOD,420.00
0.34,J,VS1,VERY GOOD,420.00
0.34,J,VS1,VERY GOOD,420.00
0.31,E,SI2,IDEAL,420.00
0.3,D,SI2,VERY GOOD,420.00
0.3,D,SI2,VERY GOOD,420.00
0.33,J,SI1,SUPER IDEAL,420.00
0.3,D,SI2,SUPER IDEAL,420.00
0.3,D,SI2,IDEAL,420.00
0.3,D,SI2,SUPER IDEAL,420.00
0.3,D,SI2,SUPER IDEAL,420.00
